"strap_number","term","estimate","std_error","statistic","p_value"
2880,"(Intercept)",7.49154525634967,0.211410527908585,35.4360084640111,9.82074332352335e-120
2880,"tmin",1.03255319960473,0.0145867976380342,70.7868323964685,3.9594252769772e-214
2880,"prcp",-0.00470289631527963,0.00238592469563637,-1.97110006190924,0.049473777033834
2881,"(Intercept)",7.43682075554639,0.209345842652093,35.5240909555843,4.8840012084112e-120
2881,"tmin",1.05226674445927,0.0147881615988813,71.1560214853799,6.83116086336807e-215
2881,"prcp",-0.00622788062612966,0.00166800353048956,-3.73373347974976,0.000219046903895269
2882,"(Intercept)",8.09552712313295,0.244537175039131,33.1055068491631,1.48380600684127e-111
2882,"tmin",1.00836075521991,0.0168060350937061,59.9999196477661,3.52285915028959e-190
2882,"prcp",0.0019885303194785,0.00200672412137455,0.990933580903199,0.322379898767114
2883,"(Intercept)",8.06737999825301,0.202671154484017,39.8052698658171,2.75127755050222e-134
2883,"tmin",0.998466490694096,0.0144161553059193,69.2602479306061,6.16821735876976e-211
2883,"prcp",-0.00280317866958663,0.00196841327906255,-1.42408034908281,0.1552846190942
2884,"(Intercept)",8.35154007924831,0.215840912058158,38.6930355307154,1.12026150008041e-130
2884,"tmin",1.00148090609613,0.0156957778948134,63.8057516363722,5.14700929837658e-199
2884,"prcp",-0.000490087157599204,0.00202877543861644,-0.241567966700853,0.809251723029206
2885,"(Intercept)",8.19703769127081,0.217278778390815,37.7259010381904,1.73859385067782e-127
2885,"tmin",1.02658952507303,0.0155062099840838,66.2050575947806,2.31792222347065e-204
2885,"prcp",-0.00681567914450164,0.00207525380575921,-3.28426292995434,0.00112224198986694
2886,"(Intercept)",8.37223819004203,0.236009089847384,35.4742192152683,7.2525342402326e-120
2886,"tmin",0.994853103792215,0.0166967505665651,59.5836357395426,3.47612933255311e-189
2886,"prcp",0.00140087657077743,0.00223669024477289,0.626316752644337,0.531501928438406
2887,"(Intercept)",8.01662529681289,0.223863340626674,35.8103532019645,5.07845042018984e-121
2887,"tmin",1.01759493883292,0.0162418911414293,62.6524910167186,2.19617210889992e-196
2887,"prcp",-0.00337838207118982,0.00189200165197719,-1.78561264344527,0.0749990182141727
2888,"(Intercept)",8.2542552517273,0.227910278963856,36.2171258323822,2.07210597011568e-122
2888,"tmin",1.00427720693669,0.0159954757351237,62.7850789540101,1.0895432698066e-196
2888,"prcp",-0.00457431414168815,0.0022494380062708,-2.03353643396095,0.042727288130643
2889,"(Intercept)",8.19220423637167,0.23481352046185,34.8881283337458,7.73607711890732e-118
2889,"tmin",1.00957539326524,0.0155240620247356,65.0329399390833,9.04062770105419e-202
2889,"prcp",-0.0040309371429584,0.0020485731785934,-1.96768032749805,0.0498678654162349
2890,"(Intercept)",7.83377596652768,0.23645038914053,33.1307383126014,1.20570695590744e-111
2890,"tmin",1.00167780452421,0.0165011838201204,60.7033904623759,7.57825831320524e-192
2890,"prcp",0.00650595234941385,0.00196625756916846,3.30879964630739,0.00103102040212726
2891,"(Intercept)",8.68232460020115,0.281232956936176,30.8723582569718,1.93333295362858e-103
2891,"tmin",0.974892377179331,0.0195881370114835,49.7695302318849,5.68691198650731e-164
2891,"prcp",0.00141269283220841,0.00212505916211047,0.664778118838545,0.506615681746696
2892,"(Intercept)",8.12725747027515,0.228524183969727,35.5641023593012,3.55720432479507e-120
2892,"tmin",1.02122770673251,0.0153186259109611,66.6657513975702,2.27671544076174e-205
2892,"prcp",-0.00130668106387591,0.0019134534167456,-0.682891494739551,0.495112195874328
2893,"(Intercept)",8.15295588508868,0.26472377643374,30.7979736271606,3.64141140856759e-103
2893,"tmin",0.995929597433232,0.0184151541981063,54.0820666891646,1.72223167390808e-175
2893,"prcp",0.00389692971115335,0.00243959192811168,1.59736948882664,0.111055870960631
2894,"(Intercept)",8.55433269675161,0.225620939547784,37.91462225934,4.10877076244532e-128
2894,"tmin",1.00066805730995,0.0154320172262661,64.8436327304483,2.3898771881498e-201
2894,"prcp",-0.00329422603410478,0.0019336030899767,-1.7036723054391,0.0893005254492852
2895,"(Intercept)",7.75149278816335,0.198376971837638,39.0745594932641,6.36667157332978e-132
2895,"tmin",1.02932554923462,0.0131922660988952,78.0249232026046,1.70630936788746e-228
2895,"prcp",-0.0102911716864509,0.0018513328028147,-5.5587907645803,5.27977256897168e-08
2896,"(Intercept)",8.47820823630975,0.27002578798388,31.3977724113368,2.25235788623019e-105
2896,"tmin",0.968375554376059,0.0187736772140858,51.5815598261961,6.69393782218051e-169
2896,"prcp",0.00454642853462038,0.00202995993102837,2.23966417520231,0.025719293148528
2897,"(Intercept)",7.85227002615706,0.215789129945229,36.3886263786786,5.41142124998338e-123
2897,"tmin",1.04915601364189,0.0152075688073279,68.9890689915107,2.30995557832611e-210
2897,"prcp",-0.00640940803155092,0.00199189178051816,-3.21774912384227,0.0014085669730169
2898,"(Intercept)",8.57111419877549,0.255100966147987,33.5989092013211,2.60059422402962e-113
2898,"tmin",0.968646231147604,0.0176417526441119,54.9064625657191,1.30443520069358e-177
2898,"prcp",0.00349356844613392,0.0022075938431892,1.58252318781925,0.114403430106649
2899,"(Intercept)",7.59936007586524,0.216063313488626,35.1719130525381,8.02109315229608e-119
2899,"tmin",1.01692212541191,0.0154669891000272,65.7479047043564,2.34983780037235e-203
2899,"prcp",-0.00126322963862913,0.00195802826726666,-0.645153933549977,0.519236103020093
2900,"(Intercept)",8.14010599107711,0.214749278598319,37.9051610520326,4.41646961446262e-128
2900,"tmin",1.03736292936843,0.015330928370571,67.6647169886812,1.55672360230498e-207
2900,"prcp",-0.00724717244748588,0.00241366765426502,-3.00255606221508,0.00286321422846507
2901,"(Intercept)",7.60281125173749,0.230134399294645,33.0363964493786,2.62084124543449e-111
2901,"tmin",1.02387663570559,0.0156850930923186,65.2770518912004,2.59016262886279e-202
2901,"prcp",0.00523812752705065,0.00221531856579163,2.36450305971179,0.0185813558254079
2902,"(Intercept)",8.22113663875146,0.223014477553709,36.863690325986,1.3374780081685e-124
2902,"tmin",1.01332004896227,0.015916172461033,63.6660636496082,1.06660140838798e-198
2902,"prcp",0.00117186484981554,0.00196048657294127,0.597741839189142,0.550385943386184
2903,"(Intercept)",7.79019838999507,0.207224738485682,37.592994190379,4.81418551501206e-127
2903,"tmin",1.05669650411437,0.0148900227967496,70.9667485764387,1.67998033233445e-214
2903,"prcp",-0.0088839732144886,0.00198535632577845,-4.47474999783993,1.02597509713626e-05
